Id_Pelicula;Titulo_original;Fecha_estreno;Descripcion;Cartel_path;Genero_Pelicula
52;Up;28/05/2009;Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.;/vpbaStTMt8qqXaEgnOR2EE4DNJk.jpg;Animation, Comedy, Family, Adventure
53;Ant-Man;14/07/2015;Armed with the astonishing ability to shrink in scale but increase in strength, master thief Scott Lang must embrace his inner-hero and help his mentor, Doctor Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.;/8YxOIPrabqkQCOKKbuxaz9IcqhO.jpg;Science Fiction, Action, Adventure
54;The Godfather;14/03/1972;Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.;/3bhkrj58Vtu7enYsRolD1fZdja1.jpg;Drama, Crime
55;The Martian;30/09/2015;During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.;/5BHuvQ6p9kfc091Z8RiFNhCwL4b.jpg;Drama, Adventure, Science Fiction
56;Back to the Future;03/07/1985;Eighties teenager Marty McFly is accidentally sent back in time to 1955, inadvertently disrupting his parents' first meeting and attracting his mother's romantic interest. Marty must repair the damage to history by rekindling his parents' romance and - with the help of his eccentric inventor friend Doc Brown - return to 1985.;/fNOH9f1aA7XRTzl1sAOx9iF553Q.jpg;Adventure, Comedy, Science Fiction
57;Star Wars: The Force Awakens;15/12/2015;Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.;/wqnLdwVXoBjKibFRR5U3y0aDUhs.jpg;Adventure, Action, Science Fiction
58;Spider-Man: No Way Home;15/12/2021;Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.;/5weKu49pzJCt06OPpjvT80efnQj.jpg;Action, Adventure, Science Fiction
59;Harry Potter and the Order of the Phoenix;08/07/2007;Returning for his fifth year of study at Hogwarts, Harry is stunned to find that his warnings about the return of Lord Voldemort have been ignored. Left with no choice, Harry takes matters into his own hands, training a small group of students to defend themselves against the dark arts.;/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg;Adventure, Fantasy
60;Harry Potter and the Half-Blood Prince;15/07/2009;As Lord Voldemort tightens his grip on both the Muggle and wizarding worlds, Hogwarts is no longer a safe haven. Harry suspects perils may even lie within the castle, but Dumbledore is more intent upon preparing him for the final battle fast approaching. Together they work to find the key to unlock Voldemorts defenses and to this end, Dumbledore recruits his old friend and colleague Horace Slughorn, whom he believes holds crucial information. Even as the decisive showdown looms, romance blossoms for Harry, Ron, Hermione and their classmates. Love is in the air, but danger lies ahead and Hogwarts may never be the same again.;/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg;Adventure, Fantasy
61;Logan;28/02/2017;In the near future, a weary Logan cares for an ailing Professor X in a hideout on the Mexican border. But Logan's attempts to hide from the world and his legacy are upended when a young mutant arrives, pursued by dark forces.;/fnbjcRDYn6YviCcePDnGdyAkYsB.jpg;Action, Drama, Science Fiction
